0	data9	500	1
frame:0	1	object:1	96	46
frame:1	1	object:1	95	47
frame:2	1	object:1	95	46
frame:3	1	object:1	95	46
frame:4	1	object:1	94	46
frame:5	1	object:1	95	46
frame:6	1	object:1	94	45
frame:7	1	object:1	94	45
frame:8	1	object:1	94	45
frame:9	1	object:1	94	45
frame:10	1	object:1	93	45
frame:11	1	object:1	93	44
frame:12	1	object:1	93	44
frame:13	1	object:1	93	44
frame:14	1	object:1	93	45
frame:15	1	object:1	93	48
frame:16	1	object:1	93	50
frame:17	1	object:1	93	50
frame:18	1	object:1	93	50
frame:19	1	object:1	92	50
frame:20	1	object:1	93	49
frame:21	1	object:1	93	45
frame:22	1	object:1	93	45
frame:23	1	object:1	92	44
frame:24	1	object:1	92	44
frame:25	1	object:1	92	44
frame:26	1	object:1	92	44
frame:27	1	object:1	92	44
frame:28	1	object:1	93	44
frame:29	1	object:1	93	44
frame:30	1	object:1	93	44
frame:31	1	object:1	93	44
frame:32	1	object:1	93	45
frame:33	1	object:1	93	47
frame:34	1	object:1	93	48
frame:35	1	object:1	93	48
frame:36	1	object:1	92	48
frame:37	1	object:1	93	48
frame:38	1	object:1	92	48
frame:39	1	object:1	92	48
frame:40	1	object:1	92	47
frame:41	1	object:1	92	47
frame:42	1	object:1	91	46
frame:43	1	object:1	92	46
frame:44	1	object:1	92	46
frame:45	1	object:1	92	45
frame:46	1	object:1	91	45
frame:47	1	object:1	91	45
frame:48	1	object:1	91	45
frame:49	1	object:1	91	48
frame:50	1	object:1	91	49
frame:51	1	object:1	91	48
frame:52	1	object:1	90	49
frame:53	1	object:1	90	48
frame:54	1	object:1	91	48
frame:55	1	object:1	91	48
frame:56	1	object:1	90	48
frame:57	1	object:1	90	48
frame:58	1	object:1	91	47
frame:59	1	object:1	91	47
frame:60	1	object:1	91	47
frame:61	1	object:1	90	47
frame:62	1	object:1	90	46
frame:63	1	object:1	90	46
frame:64	1	object:1	90	47
frame:65	1	object:1	92	48
frame:66	1	object:1	94	50
frame:67	1	object:1	95	50
frame:68	1	object:1	94	49
frame:69	1	object:1	94	49
frame:70	1	object:1	94	49
frame:71	1	object:1	95	49
frame:72	1	object:1	95	49
frame:73	1	object:1	95	48
frame:74	1	object:1	95	48
frame:75	1	object:1	95	48
frame:76	1	object:1	95	48
frame:77	1	object:1	96	47
frame:78	1	object:1	96	47
frame:79	1	object:1	96	46
frame:80	1	object:1	96	48
frame:81	1	object:1	95	49
frame:82	1	object:1	95	49
frame:83	1	object:1	94	49
frame:84	1	object:1	94	49
frame:85	1	object:1	94	49
frame:86	1	object:1	93	49
frame:87	1	object:1	92	48
frame:88	1	object:1	92	48
frame:89	1	object:1	91	47
frame:90	1	object:1	91	48
frame:91	1	object:1	91	46
frame:92	1	object:1	90	47
frame:93	1	object:1	89	47
frame:94	1	object:1	89	47
frame:95	1	object:1	89	46
frame:96	1	object:1	89	46
frame:97	1	object:1	89	48
frame:98	1	object:1	89	49
frame:99	1	object:1	89	49
frame:100	1	object:1	89	49
frame:101	1	object:1	90	48
frame:102	1	object:1	91	48
frame:103	1	object:1	91	48
frame:104	1	object:1	92	48
frame:105	1	object:1	93	47
frame:106	1	object:1	93	47
frame:107	1	object:1	92	46
frame:108	1	object:1	93	46
frame:109	1	object:1	93	47
frame:110	1	object:1	93	46
frame:111	1	object:1	93	46
frame:112	1	object:1	92	46
frame:113	1	object:1	93	48
frame:114	1	object:1	93	49
frame:115	1	object:1	93	49
frame:116	1	object:1	93	48
frame:117	1	object:1	93	48
frame:118	1	object:1	93	48
frame:119	1	object:1	93	48
frame:120	1	object:1	93	48
frame:121	1	object:1	93	47
frame:122	1	object:1	93	47
frame:123	1	object:1	93	47
frame:124	1	object:1	93	46
frame:125	1	object:1	93	47
frame:126	1	object:1	93	45
frame:127	1	object:1	94	45
frame:128	1	object:1	93	46
frame:129	1	object:1	93	47
frame:130	1	object:1	93	50
frame:131	1	object:1	93	50
frame:132	1	object:1	93	50
frame:133	1	object:1	93	49
frame:134	1	object:1	93	49
frame:135	1	object:1	94	48
frame:136	1	object:1	94	48
frame:137	1	object:1	94	48
frame:138	1	object:1	94	48
frame:139	1	object:1	93	47
frame:140	1	object:1	93	48
frame:141	1	object:1	93	48
frame:142	1	object:1	93	47
frame:143	1	object:1	93	47
frame:144	1	object:1	93	48
frame:145	1	object:1	95	48
frame:146	1	object:1	95	49
frame:147	1	object:1	94	50
frame:148	1	object:1	95	50
frame:149	1	object:1	95	50
frame:150	1	object:1	95	50
frame:151	1	object:1	94	50
frame:152	1	object:1	94	50
frame:153	1	object:1	95	49
frame:154	1	object:1	95	50
frame:155	1	object:1	95	50
frame:156	1	object:1	95	50
frame:157	1	object:1	95	50
frame:158	1	object:1	96	49
frame:159	1	object:1	96	50
frame:160	1	object:1	96	50
frame:161	1	object:1	96	50
frame:162	1	object:1	96	49
frame:163	1	object:1	96	49
frame:164	1	object:1	96	49
frame:165	1	object:1	94	49
frame:166	1	object:1	94	49
frame:167	1	object:1	94	49
frame:168	1	object:1	94	49
frame:169	1	object:1	93	49
frame:170	1	object:1	92	51
frame:171	1	object:1	91	53
frame:172	1	object:1	92	54
frame:173	1	object:1	92	54
frame:174	1	object:1	92	53
frame:175	1	object:1	90	53
frame:176	1	object:1	90	53
frame:177	1	object:1	90	53
frame:178	1	object:1	89	54
frame:179	1	object:1	89	54
frame:180	1	object:1	89	53
frame:181	1	object:1	88	53
frame:182	1	object:1	88	54
frame:183	1	object:1	88	53
frame:184	1	object:1	88	53
frame:185	1	object:1	88	53
frame:186	1	object:1	87	53
frame:187	1	object:1	88	54
frame:188	1	object:1	88	53
frame:189	1	object:1	88	53
frame:190	1	object:1	87	54
frame:191	1	object:1	87	53
frame:192	1	object:1	88	53
frame:193	1	object:1	88	55
frame:194	1	object:1	88	56
frame:195	1	object:1	87	56
frame:196	1	object:1	89	56
frame:197	1	object:1	89	55
frame:198	1	object:1	91	56
frame:199	1	object:1	91	56
frame:200	1	object:1	91	56
frame:201	1	object:1	91	56
frame:202	1	object:1	91	56
frame:203	1	object:1	91	56
frame:204	1	object:1	91	56
frame:205	1	object:1	91	56
frame:206	1	object:1	91	56
frame:207	1	object:1	91	56
frame:208	1	object:1	91	56
frame:209	1	object:1	90	56
frame:210	1	object:1	92	56
frame:211	1	object:1	92	56
frame:212	1	object:1	92	56
frame:213	1	object:1	92	56
frame:214	1	object:1	92	56
frame:215	1	object:1	92	56
frame:216	1	object:1	92	56
frame:217	1	object:1	93	56
frame:218	1	object:1	93	57
frame:219	1	object:1	93	56
frame:220	1	object:1	92	56
frame:221	1	object:1	92	56
frame:222	1	object:1	92	56
frame:223	1	object:1	92	56
frame:224	1	object:1	92	56
frame:225	1	object:1	92	56
frame:226	1	object:1	92	56
frame:227	1	object:1	92	56
frame:228	1	object:1	92	56
frame:229	1	object:1	92	56
frame:230	1	object:1	92	56
frame:231	1	object:1	92	56
frame:232	1	object:1	92	56
frame:233	1	object:1	91	56
frame:234	1	object:1	91	56
frame:235	1	object:1	91	56
frame:236	1	object:1	91	56
frame:237	1	object:1	91	56
frame:238	1	object:1	91	56
frame:239	1	object:1	92	56
frame:240	1	object:1	92	56
frame:241	1	object:1	92	57
frame:242	1	object:1	91	57
frame:243	1	object:1	91	57
frame:244	1	object:1	91	57
frame:245	1	object:1	91	57
frame:246	1	object:1	91	57
frame:247	1	object:1	91	57
frame:248	1	object:1	90	57
frame:249	1	object:1	90	57
frame:250	1	object:1	91	57
frame:251	1	object:1	90	57
frame:252	1	object:1	90	57
frame:253	1	object:1	90	57
frame:254	1	object:1	90	58
frame:255	1	object:1	90	57
frame:256	1	object:1	89	57
frame:257	1	object:1	89	57
frame:258	1	object:1	89	57
frame:259	1	object:1	89	57
frame:260	1	object:1	88	57
frame:261	1	object:1	89	56
frame:262	1	object:1	89	57
frame:263	1	object:1	89	57
frame:264	1	object:1	88	57
frame:265	1	object:1	88	57
frame:266	1	object:1	88	57
frame:267	1	object:1	88	57
frame:268	1	object:1	87	57
frame:269	1	object:1	88	57
frame:270	1	object:1	88	56
frame:271	1	object:1	87	56
frame:272	1	object:1	87	56
frame:273	1	object:1	87	56
frame:274	1	object:1	86	56
frame:275	1	object:1	87	56
frame:276	1	object:1	87	56
frame:277	1	object:1	86	56
frame:278	1	object:1	87	56
frame:279	1	object:1	86	56
frame:280	1	object:1	87	55
frame:281	1	object:1	86	56
