0	data4	399	2				
frame:0	2	object:1	132	129	object:2	185	133
frame:1	2	object:1	131	128	object:2	183	132
frame:2	2	object:1	132	128	object:2	183	133
frame:3	2	object:1	131	128	object:2	183	133
frame:4	2	object:1	131	128	object:2	183	133
frame:5	2	object:1	132	128	object:2	181	134
frame:6	2	object:1	131	129	object:2	182	134
frame:7	2	object:1	131	129	object:2	181	134
frame:8	2	object:1	131	129	object:2	180	135
frame:9	2	object:1	131	129	object:2	180	135
frame:10	2	object:1	131	129	object:2	180	135
frame:11	2	object:1	131	129	object:2	178	136
frame:12	2	object:1	131	129	object:2	179	136
frame:13	2	object:1	131	130	object:2	179	136
frame:14	2	object:1	131	130	object:2	178	136
frame:15	2	object:1	131	130	object:2	176	136
frame:16	2	object:1	131	130	object:2	176	137
frame:17	2	object:1	131	129	object:2	176	136
frame:18	2	object:1	131	129	object:2	175	137
frame:19	2	object:1	131	129	object:2	175	137
frame:20	2	object:1	131	129	object:2	175	136
frame:21	2	object:1	131	129	object:2	175	136
frame:22	2	object:1	131	129	object:2	174	136
frame:23	2	object:1	131	129	object:2	173	137
frame:24	2	object:1	131	129	object:2	174	137
frame:25	2	object:1	131	130	object:2	173	137
frame:26	2	object:1	131	130	object:2	172	138
frame:27	2	object:1	131	130	object:2	173	138
frame:28	2	object:1	131	130	object:2	172	138
frame:29	2	object:1	131	130	object:2	171	138
frame:30	2	object:1	131	130	object:2	170	139
frame:31	2	object:1	131	130	object:2	170	139
frame:32	2	object:1	131	130	object:2	170	138
frame:33	2	object:1	131	130	object:2	170	138
frame:34	2	object:1	131	130	object:2	170	138
frame:35	2	object:1	131	130	object:2	168	139
frame:36	2	object:1	131	130	object:2	168	139
frame:37	2	object:1	131	130	object:2	168	139
frame:38	2	object:1	131	130	object:2	168	139
frame:39	2	object:1	131	129	object:2	167	139
frame:40	2	object:1	131	129	object:2	167	139
frame:41	2	object:1	131	130	object:2	167	139
frame:42	2	object:1	131	130	object:2	167	139
frame:43	2	object:1	131	130	object:2	166	139
frame:44	2	object:1	131	130	object:2	166	139
frame:45	2	object:1	131	130	object:2	166	139
frame:46	2	object:1	131	130	object:2	165	140
frame:47	2	object:1	131	130	object:2	165	140
frame:48	2	object:1	130	130	object:2	164	140
frame:49	2	object:1	130	130	object:2	164	140
frame:50	2	object:1	131	130	object:2	164	140
frame:51	2	object:1	130	130	object:2	163	140
frame:52	2	object:1	130	130	object:2	163	140
frame:53	2	object:1	130	130	object:2	162	140
frame:54	2	object:1	130	130	object:2	162	141
frame:55	2	object:1	130	130	object:2	162	141
frame:56	2	object:1	130	130	object:2	161	141
frame:57	2	object:1	130	130	object:2	161	141
frame:58	2	object:1	130	130	object:2	161	141
frame:59	2	object:1	130	130	object:2	160	141
frame:60	2	object:1	130	130	object:2	160	141
frame:61	2	object:1	130	131	object:2	159	141
frame:62	2	object:1	130	130	object:2	159	141
frame:63	2	object:1	130	130	object:2	159	141
frame:64	2	object:1	130	130	object:2	158	141
frame:65	2	object:1	130	130	object:2	158	141
frame:66	2	object:1	130	130	object:2	158	141
frame:67	2	object:1	130	130	object:2	157	141
frame:68	2	object:1	130	130	object:2	157	141
frame:69	2	object:1	130	130	object:2	156	141
frame:70	2	object:1	130	130	object:2	156	141
frame:71	2	object:1	130	130	object:2	156	141
frame:72	2	object:1	130	130	object:2	156	142
frame:73	2	object:1	130	130	object:2	156	142
frame:74	2	object:1	130	131	object:2	156	142
frame:75	2	object:1	130	131	object:2	155	142
frame:76	2	object:1	130	131	object:2	154	142
frame:77	2	object:1	130	131	object:2	154	142
frame:78	2	object:1	130	131	object:2	154	142
frame:79	2	object:1	130	131	object:2	153	142
frame:80	2	object:1	131	131	object:2	153	142
frame:81	2	object:1	130	131	object:2	152	142
frame:82	2	object:1	130	131	object:2	152	142
frame:83	2	object:1	130	131	object:2	152	142
frame:84	2	object:1	130	131	object:2	152	142
frame:85	2	object:1	130	131	object:2	151	142
frame:86	2	object:1	130	131	object:2	151	142
frame:87	2	object:1	130	131	object:2	151	142
frame:88	2	object:1	130	131	object:2	150	142
frame:89	2	object:1	130	131	object:2	150	142
frame:90	2	object:1	131	131	object:2	150	142
frame:91	2	object:1	131	131	object:2	150	142
frame:92	2	object:1	131	131	object:2	149	142
frame:93	2	object:1	131	131	object:2	149	142
frame:94	2	object:1	131	131	object:2	149	142
frame:95	2	object:1	130	131	object:2	149	142
frame:96	2	object:1	131	131	object:2	148	142
frame:97	2	object:1	130	131	object:2	148	142
frame:98	2	object:1	130	131	object:2	147	142
frame:99	2	object:1	130	131	object:2	147	142
frame:100	2	object:1	130	131	object:2	147	142
frame:101	2	object:1	130	131	object:2	146	142
frame:102	2	object:1	129	131	object:2	146	142
frame:103	2	object:1	129	132	object:2	146	142
frame:104	2	object:1	129	131	object:2	145	142
frame:105	2	object:1	129	132	object:2	145	142
frame:106	2	object:1	129	131	object:2	144	141
frame:107	2	object:1	129	131	object:2	144	141
frame:108	2	object:1	129	132	object:2	144	141
frame:109	2	object:1	129	132	object:2	144	141
frame:110	2	object:1	128	132	object:2	143	141
frame:111	2	object:1	128	132	object:2	143	141
frame:112	2	object:1	128	132	object:2	142	141
frame:113	2	object:1	128	132	object:2	142	141
frame:114	2	object:1	129	132	object:2	141	141
frame:115	2	object:1	128	132	object:2	141	141
frame:116	2	object:1	128	131	object:2	141	141
frame:117	2	object:1	128	132	object:2	141	141
frame:118	2	object:1	129	132	object:2	140	140
frame:119	2	object:1	128	132	object:2	138	140
frame:120	2	object:1	128	132	object:2	138	140
frame:121	2	object:1	128	132	object:2	138	140
frame:122	2	object:1	128	132	object:2	138	140
