0	data8	399	1	
frame:0	1	object:1	94	125
frame:1	1	object:1	94	125
frame:2	1	object:1	94	126
frame:3	1	object:1	94	126
frame:4	1	object:1	93	126
frame:5	1	object:1	93	126
frame:6	1	object:1	93	126
frame:7	1	object:1	93	126
frame:8	1	object:1	92	125
frame:9	1	object:1	92	124
frame:10	1	object:1	92	124
frame:11	1	object:1	92	124
frame:12	1	object:1	92	125
frame:13	1	object:1	92	125
frame:14	1	object:1	92	125
frame:15	1	object:1	92	125
frame:16	1	object:1	92	125
frame:17	1	object:1	92	126
frame:18	1	object:1	92	126
frame:19	1	object:1	92	126
frame:20	1	object:1	92	126
frame:21	1	object:1	92	126
frame:22	1	object:1	93	126
frame:23	1	object:1	93	126
frame:24	1	object:1	93	125
frame:25	1	object:1	93	125
frame:26	1	object:1	93	124
frame:27	1	object:1	93	124
frame:28	1	object:1	93	125
frame:29	1	object:1	93	125
frame:30	1	object:1	93	125
frame:31	1	object:1	93	125
frame:32	1	object:1	93	125
frame:33	1	object:1	93	125
frame:34	1	object:1	93	126
frame:35	1	object:1	92	126
frame:36	1	object:1	92	126
frame:37	1	object:1	92	126
frame:38	1	object:1	92	126
frame:39	1	object:1	92	126
frame:40	1	object:1	92	124
frame:41	1	object:1	93	122
frame:42	1	object:1	94	122
frame:43	1	object:1	95	122
frame:44	1	object:1	95	122
frame:45	1	object:1	96	122
frame:46	1	object:1	96	122
frame:47	1	object:1	96	123
frame:48	1	object:1	96	123
frame:49	1	object:1	96	123
frame:50	1	object:1	96	123
frame:51	1	object:1	96	123
frame:52	1	object:1	96	123
frame:53	1	object:1	96	124
frame:54	1	object:1	95	124
frame:55	1	object:1	95	124
frame:56	1	object:1	95	123
frame:57	1	object:1	95	122
frame:58	1	object:1	95	122
frame:59	1	object:1	22	164
frame:60	1	object:1	21	164
frame:61	1	object:1	21	164
frame:62	1	object:1	21	164
frame:63	1	object:1	27	157
frame:64	1	object:1	51	136
frame:65	1	object:1	83	119
frame:66	1	object:1	96	119
frame:67	1	object:1	98	121
frame:68	1	object:1	97	122
frame:69	1	object:1	98	122
frame:70	1	object:1	98	122
frame:71	1	object:1	98	123
frame:72	1	object:1	97	123
frame:73	1	object:1	97	123
frame:74	1	object:1	97	123
frame:75	1	object:1	97	123
