0	data5	3000	1	
frame:0	1	object:1	71	109
frame:1	1	object:1	70	109
frame:2	1	object:1	69	109
frame:3	1	object:1	69	109
frame:4	1	object:1	69	109
frame:5	1	object:1	69	109
frame:6	1	object:1	68	109
frame:7	1	object:1	67	109
frame:8	1	object:1	66	109
frame:9	1	object:1	65	109
frame:10	1	object:1	64	109
frame:11	1	object:1	64	109
frame:12	1	object:1	64	109
frame:13	1	object:1	67	109
frame:14	1	object:1	70	109
frame:15	1	object:1	72	109
frame:16	1	object:1	72	109
frame:17	1	object:1	71	109
frame:18	1	object:1	70	109
frame:19	1	object:1	70	109
frame:20	1	object:1	69	109
frame:21	1	object:1	68	109
frame:22	1	object:1	67	109
frame:23	1	object:1	67	109
frame:24	1	object:1	66	109
frame:25	1	object:1	65	109
frame:26	1	object:1	64	109
frame:27	1	object:1	63	109
frame:28	1	object:1	63	109
frame:29	1	object:1	66	109
frame:30	1	object:1	70	109
frame:31	1	object:1	72	109
frame:32	1	object:1	72	109
frame:33	1	object:1	72	109
frame:34	1	object:1	71	109
frame:35	1	object:1	70	109
frame:36	1	object:1	69	109
frame:37	1	object:1	68	109
frame:38	1	object:1	68	109
frame:39	1	object:1	67	109
frame:40	1	object:1	66	109
frame:41	1	object:1	65	109
frame:42	1	object:1	64	108
frame:43	1	object:1	63	108
frame:44	1	object:1	63	108
frame:45	1	object:1	66	108
frame:46	1	object:1	69	108
frame:47	1	object:1	71	108
frame:48	1	object:1	59	109
frame:49	1	object:1	58	109
frame:50	1	object:1	58	109
frame:51	1	object:1	57	109
frame:52	1	object:1	57	109
frame:53	1	object:1	58	109
frame:54	1	object:1	60	109
frame:55	1	object:1	62	109
frame:56	1	object:1	62	109
frame:57	1	object:1	62	109
frame:58	1	object:1	62	109
frame:59	1	object:1	61	109
frame:60	1	object:1	61	109
frame:61	1	object:1	60	109
frame:62	1	object:1	61	109
frame:63	1	object:1	65	109
frame:64	1	object:1	70	110
frame:65	1	object:1	73	110
frame:66	1	object:1	73	110
frame:67	1	object:1	72	110
frame:68	1	object:1	71	110
frame:69	1	object:1	70	110
frame:70	1	object:1	70	110
frame:71	1	object:1	69	110
frame:72	1	object:1	68	110
frame:73	1	object:1	67	110
frame:74	1	object:1	66	110
frame:75	1	object:1	65	110
frame:76	1	object:1	64	110
frame:77	1	object:1	63	110
frame:78	1	object:1	64	111
frame:79	1	object:1	65	111
frame:80	1	object:1	67	111
frame:81	1	object:1	68	111
frame:82	1	object:1	69	111
frame:83	1	object:1	68	111
frame:84	1	object:1	68	111
frame:85	1	object:1	67	111
frame:86	1	object:1	67	111
frame:87	1	object:1	67	111
frame:88	1	object:1	67	111
frame:89	1	object:1	66	111
frame:90	1	object:1	65	111
frame:91	1	object:1	64	111
frame:92	1	object:1	64	111
frame:93	1	object:1	63	111
frame:94	1	object:1	63	111
frame:95	1	object:1	67	112
frame:96	1	object:1	70	112
frame:97	1	object:1	72	112
frame:98	1	object:1	72	112
frame:99	1	object:1	71	112
frame:100	1	object:1	71	112
frame:101	1	object:1	70	112
frame:102	1	object:1	69	112
frame:103	1	object:1	68	112
frame:104	1	object:1	68	112
frame:105	1	object:1	67	112
frame:106	1	object:1	66	112
frame:107	1	object:1	65	112
frame:108	1	object:1	64	111
frame:109	1	object:1	64	112
frame:110	1	object:1	63	111
frame:111	1	object:1	66	111
frame:112	1	object:1	69	111
frame:113	1	object:1	70	111
frame:114	1	object:1	70	111
frame:115	1	object:1	70	111
frame:116	1	object:1	69	111
frame:117	1	object:1	69	111
frame:118	1	object:1	68	111
frame:119	1	object:1	68	111
frame:120	1	object:1	67	111
frame:121	1	object:1	67	111
frame:122	1	object:1	67	112
frame:123	1	object:1	66	112
frame:124	1	object:1	65	112
frame:125	1	object:1	65	112
frame:126	1	object:1	65	112
frame:127	1	object:1	68	112
frame:128	1	object:1	72	112
frame:129	1	object:1	74	112
frame:130	1	object:1	74	112
frame:131	1	object:1	74	112
frame:132	1	object:1	73	112
frame:133	1	object:1	72	112
frame:134	1	object:1	71	112
frame:135	1	object:1	71	112
frame:136	1	object:1	70	112
frame:137	1	object:1	69	112
frame:138	1	object:1	68	112
frame:139	1	object:1	67	112
frame:140	1	object:1	67	112
frame:141	1	object:1	66	111
frame:142	1	object:1	66	111
frame:143	1	object:1	67	111
frame:144	1	object:1	70	111
frame:145	1	object:1	71	111
frame:146	1	object:1	72	112
frame:147	1	object:1	71	112
frame:148	1	object:1	71	112
frame:149	1	object:1	70	112
frame:150	1	object:1	70	112
frame:151	1	object:1	69	112
frame:152	1	object:1	69	112
frame:153	1	object:1	68	112
frame:154	1	object:1	68	112
frame:155	1	object:1	67	112
frame:156	1	object:1	66	112
frame:157	1	object:1	65	112
frame:158	1	object:1	66	112
frame:159	1	object:1	69	112
frame:160	1	object:1	73	112
frame:161	1	object:1	75	112
frame:162	1	object:1	75	113
frame:163	1	object:1	75	113
frame:164	1	object:1	74	113
frame:165	1	object:1	73	113
frame:166	1	object:1	72	113
frame:167	1	object:1	72	113
frame:168	1	object:1	71	113
frame:169	1	object:1	70	113
frame:170	1	object:1	69	113
frame:171	1	object:1	68	113
frame:172	1	object:1	68	113
frame:173	1	object:1	67	113
frame:174	1	object:1	67	113
frame:175	1	object:1	68	113
frame:176	1	object:1	71	113
frame:177	1	object:1	73	113
frame:178	1	object:1	73	113
frame:179	1	object:1	73	113
frame:180	1	object:1	73	114
frame:181	1	object:1	72	114
frame:182	1	object:1	72	114
frame:183	1	object:1	71	114
