0	data7	399	1	
frame:0	1	object:1	214	123
frame:1	1	object:1	214	121
frame:2	1	object:1	215	119
frame:3	1	object:1	216	117
frame:4	1	object:1	217	115
frame:5	1	object:1	218	113
frame:6	1	object:1	218	112
frame:7	1	object:1	219	110
frame:8	1	object:1	220	108
frame:9	1	object:1	220	106
frame:10	1	object:1	221	103
frame:11	1	object:1	220	102
frame:12	1	object:1	211	100
frame:13	1	object:1	202	98
frame:14	1	object:1	196	96
frame:15	1	object:1	195	94
frame:16	1	object:1	196	92
frame:17	1	object:1	196	90
frame:18	1	object:1	196	88
frame:19	1	object:1	196	87
frame:20	1	object:1	196	85
frame:21	1	object:1	197	83
frame:22	1	object:1	199	82
frame:23	1	object:1	198	79
frame:24	1	object:1	198	78
frame:25	1	object:1	198	76
frame:26	1	object:1	199	75
frame:27	1	object:1	199	72
frame:28	1	object:1	195	70
frame:29	1	object:1	191	68
frame:30	1	object:1	189	66
frame:31	1	object:1	188	64
frame:32	1	object:1	189	63
frame:33	1	object:1	189	61
frame:34	1	object:1	189	59
frame:35	1	object:1	189	57
frame:36	1	object:1	188	55
frame:37	1	object:1	188	54
frame:38	1	object:1	188	51
frame:39	1	object:1	187	50
frame:40	1	object:1	187	48
frame:41	1	object:1	187	46
frame:42	1	object:1	188	45
frame:43	1	object:1	186	44
frame:44	1	object:1	183	47
frame:45	1	object:1	180	48
frame:46	1	object:1	178	47
frame:47	1	object:1	178	45
frame:48	1	object:1	178	44
frame:49	1	object:1	178	43
frame:50	1	object:1	177	41
frame:51	1	object:1	177	39
frame:52	1	object:1	176	37
frame:53	1	object:1	176	36
frame:54	1	object:1	175	34
frame:55	1	object:1	174	34
frame:56	1	object:1	174	32
frame:57	1	object:1	174	30
frame:58	1	object:1	174	28
frame:59	1	object:1	172	31
frame:60	1	object:1	166	44
frame:61	1	object:1	160	51
frame:62	1	object:1	155	51
frame:63	1	object:1	154	48
frame:64	1	object:1	153	46
frame:65	1	object:1	152	45
frame:66	1	object:1	152	43
frame:67	1	object:1	152	41
frame:68	1	object:1	151	39
frame:69	1	object:1	151	38
frame:70	1	object:1	150	36
frame:71	1	object:1	149	35
frame:72	1	object:1	149	33
frame:73	1	object:1	149	32
frame:74	1	object:1	148	30
frame:75	1	object:1	148	32
frame:76	1	object:1	147	43
frame:77	1	object:1	146	52
frame:78	1	object:1	146	51
frame:79	1	object:1	145	49
frame:80	1	object:1	144	48
frame:81	1	object:1	144	46
frame:82	1	object:1	143	45
frame:83	1	object:1	143	43
frame:84	1	object:1	142	41
frame:85	1	object:1	141	40
frame:86	1	object:1	140	38
frame:87	1	object:1	140	36
frame:88	1	object:1	139	35
frame:89	1	object:1	138	33
frame:90	1	object:1	138	32
frame:91	1	object:1	136	34
frame:92	1	object:1	136	44
frame:93	1	object:1	135	51
frame:94	1	object:1	134	50
frame:95	1	object:1	133	48
frame:96	1	object:1	131	47
frame:97	1	object:1	130	45
frame:98	1	object:1	128	44
frame:99	1	object:1	127	43
frame:100	1	object:1	126	41
frame:101	1	object:1	125	39
frame:102	1	object:1	123	38
frame:103	1	object:1	123	36
frame:104	1	object:1	120	35
frame:105	1	object:1	120	33
frame:106	1	object:1	118	32
frame:107	1	object:1	116	30
frame:108	1	object:1	115	29
frame:109	1	object:1	114	30
frame:110	1	object:1	114	41
frame:111	1	object:1	112	48
frame:112	1	object:1	111	48
frame:113	1	object:1	110	47
frame:114	1	object:1	110	45
frame:115	1	object:1	109	43
frame:116	1	object:1	109	42
frame:117	1	object:1	109	41
frame:118	1	object:1	108	39
frame:119	1	object:1	98	26
frame:120	1	object:1	97	25
frame:121	1	object:1	95	23
frame:122	1	object:1	94	22
frame:123	1	object:1	95	24
frame:124	1	object:1	100	34
frame:125	1	object:1	105	42
frame:126	1	object:1	107	43
frame:127	1	object:1	105	41
frame:128	1	object:1	104	40
frame:129	1	object:1	103	39
frame:130	1	object:1	101	37
frame:131	1	object:1	101	40
frame:132	1	object:1	104	51
frame:133	1	object:1	107	59
frame:134	1	object:1	108	59
frame:135	1	object:1	106	57
frame:136	1	object:1	106	56
frame:137	1	object:1	105	54
frame:138	1	object:1	103	53
frame:139	1	object:1	102	52
frame:140	1	object:1	101	50
frame:141	1	object:1	101	49
frame:142	1	object:1	100	48
frame:143	1	object:1	99	46
frame:144	1	object:1	97	45
frame:145	1	object:1	95	44
frame:146	1	object:1	94	42
frame:147	1	object:1	94	44
frame:148	1	object:1	100	52
frame:149	1	object:1	105	57
frame:150	1	object:1	107	57
frame:151	1	object:1	107	56
frame:152	1	object:1	105	55
frame:153	1	object:1	104	53
frame:154	1	object:1	102	52
frame:155	1	object:1	100	51
frame:156	1	object:1	99	50
frame:157	1	object:1	97	48
frame:158	1	object:1	96	47
frame:159	1	object:1	94	46
frame:160	1	object:1	93	44
frame:161	1	object:1	90	43
frame:162	1	object:1	89	42
frame:163	1	object:1	90	46
frame:164	1	object:1	96	60
frame:165	1	object:1	104	69
